Subprograma,Denominación,Actuaciones,Crédito,Financiación específica: externa,Financiación específica: Rec. Propios
422D.1,Personal Docente e Investigador,Retribuciones básicas y complementarias,105074544,0,0
422D.1,Personal Docente e Investigador,Tramos Docentes,17177733,0,0
422D.1,Personal Docente e Investigador,Tramos Investigación,8725432,0,0
422D.1,Personal Docente e Investigador,Tramos Autonómicos,10057273,0,0
422D.1,Personal Docente e Investigador,Cargos Académicos,2741276,0,0
422D.1,Personal Docente e Investigador,Plazas vinculadas,2000000,2000000,0
422D.1,Personal Docente e Investigador,Otras retrib.complementarias,12417267,0,0
422D.1,Personal Docente e Investigador,Previsión Actuaciones,2892075,0,0
422D.1,Personal Docente e Investigador,Cuota Patronal Seguridad Social,11247465,0,0
422D.2,Personal de Administración y Servicios,Retribuciones básicas y complementarias,59309496,51606,0
422D.2,Personal de Administración y Servicios,Complemento de Productividad,6246235,8199,0
422D.2,Personal de Administración y Servicios,Otras retrib.complementarias,451726,0,0
422D.2,Personal de Administración y Servicios,Cargos Académicos,110053,0,0
422D.2,Personal de Administración y Servicios,Formación y movilidad,160000,0,0
422D.2,Personal de Administración y Servicios,Vestuario PAS Laboral,541708,0,0
422D.2,Personal de Administración y Servicios,Previsión actuaciones,1597335,0,0
422D.2,Personal de Administración y Servicios,Cuota Patronal Seguridad Social,21128794,0,0
422D.2,Personal de Administración y Servicios,Personal Colaboración Social y Sustituciones,2800000,0,0
422D.3,Acción Social,Plan de Acción Social,869331,0,0
422D.3,Acción Social,Compensac. precios matrícula,840000,0,600000
422D.3,Acción Social,Premio Jubilación,2618709,0,0
422D.3,Acción Social,Prestación I.T.,730000,0,0
422D.3,Acción Social,Préstamos al Personal,650000,0,0
422D.4,Docencia de Grado,Gestión Vicerrect. De Docencia,25977,0,0
422D.4,Docencia de Grado,Actividad Académica Centros,383981,0,0
422D.4,Docencia de Grado,Departamentos,3176923,0,0
422D.4,Docencia de Grado,Contratos Programa (Centros y Deptos.),854238,0,0
422D.4,Docencia de Grado,Fondo de apoyo a la financiación de Departamentos y Centros,552285,0,0
422D.4,Docencia de Grado,Plan Propio de Docencia: Programa  de Apoyo a la Docencia Práctica,1431090,0,0
422D.4,Docencia de Grado,Plan Propio de Docencia: Seguimiento y mejora de titulaciones,64000,0,0
422D.4,Docencia de Grado,Prácticas de Odontología,125000,0,0
422D.4,Docencia de Grado,Otras prácticas,118500,0,0
422D.5,Docencia de Posgrado,Másteres Universitarios,1544175,0,0
422D.5,Docencia de Posgrado,Escuelas de Doctorado,244000,0,0
422D.5,Docencia de Posgrado,Escuela Internacional de Posgrado,110000,0,0
422D.5,Docencia de Posgrado,Cursos propios Escuela de Posgrado,689800,0,689800
422D.5,Docencia de Posgrado,Aula Permanente de Formación Abierta,178000,40000,120000
422D.6,Estudiantes y Empleabilidad,Gestión y actuaciones Vicerrectorado de Estudiantes,560486,0,0
422D.6,Estudiantes y Empleabilidad,Plan Propio Becas y Ayudas,2700000,0,0
422D.6,Estudiantes y Empleabilidad,Centro de Empleo y Prácticas,9000,0,0
422D.6,Estudiantes y Empleabilidad,Plan Propio para Promoción del Autoempleo,200000,0,0
422D.6,Estudiantes y Empleabilidad,Plan Propio de Prácticas en Empresas e Instituciones,869205,779205,90000
422D.6,Estudiantes y Empleabilidad,Actividades de Cultura Emprendedora,136413,100413,0
422D.6,Estudiantes y Empleabilidad,Coordinación General de Emprendimiento,9000,0,0
422D.6,Estudiantes y Empleabilidad,Acceso a Universidad,260000,0,0
422D.6,Estudiantes y Empleabilidad,Asociaciones de Estudiantes,120000,0,0
422D.6,Estudiantes y Empleabilidad,Delegación General de Estudiantes,30000,0,0
422D.6,Estudiantes y Empleabilidad,Otros Planes de Apoyo Junta de Andalucía,654117,654117,0
422D.6,Estudiantes y Empleabilidad,Unidad de Orientación,24000,0,0
422D.6,Estudiantes y Empleabilidad,Cursos de la Casa de Porras,100000,0,100000
422D.7,Internacionalización,Gestión Vicerrectorado de Internacionalización,13000,0,0
422D.7,Internacionalización,Plan Propio de Internacionalización,620000,0,0
422D.7,Internacionalización,Oficina de Relaciones Internacionales,85000,0,0
422D.7,Internacionalización,Programas Europeos de movilidad,10454085,10454085,0
422D.7,Internacionalización,Programas de Proyección Internac. y Promoción Lingüística,75000,0,0
422D.7,Internacionalización,Cuotas a Organismos Internacionales,25000,0,0
422D.7,Internacionalización,Plan Propio de Cooperación al Desarrollo,343900,0,0
422D.8,"Calidad, Innovación Docente y Prospectiva","Unidad de Calidad, Innovación y Prospectiva",375963,3500,0
422D.9,Gestión de Personal Docente e Investigador,Gestión Vicerrect. De Personal Docente e Investigador,16000,0,0
